date,Rank,Title,Artist,Production,Weekly Views,Genre,Runtime
2023-10-01,27,UNFORGIVEN (feat. Nile Rodgers),LE SSERAFIM (르세라핌),쏘스뮤직,4335304.0,가요 / 댄스,03:02
2023-10-01,28,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악뮤),YG Entertainment,11053352.0,가요 / 발라드,04:50
2023-10-01,29,Still With You,정국,BIGHIT MUSIC,7296860.0,가요 / R&B/소울,04:00
2023-10-01,30,Summer (Feat. BE`O (비오)),Paul Blanco,Ambition Musik,1914237.0,가요 / 랩/힙합,03:20
2023-10-01,31,Vancouver 2,BIG Naughty (서동현),H1GHR MUSIC,4088242.0,가요 / 락,03:22
2023-10-01,32,After LIKE,IVE (아이브),스타쉽엔터테인먼트,9619194.0,가요 / 댄스,02:57
2023-10-01,33,OMG,NewJeans,ADOR,10594372.0,가요 / 댄스,03:32
2023-10-01,34,너의 모든 순간,성시경,SBS 콘텐츠허브,3182968.0,OST / 드라마,04:03
2023-10-01,35,Attention,NewJeans,ADOR,10594372.0,가요 / 댄스,02:58
2023-10-01,36,사랑은 늘 도망가,임영웅,모스트콘텐츠,5206668.0,OST / 드라마,04:03
2023-10-01,37,LOVE DIVE,IVE (아이브),스타쉽엔터테인먼트,9619194.0,가요 / 댄스,02:57
2023-10-01,38,CAKE,ITZY (있지),JYP Entertainment,2506828.0,가요 / 랩/힙합,03:19
2023-10-01,39,주저하는 연인들을 위해,잔나비,페포니 뮤직,3216975.0,가요 / 인디,04:25
2023-10-01,40,I WANT,IVE (아이브),스타쉽엔터테인먼트,9619194.0,가요 / 댄스,03:01
2023-10-01,41,심(心),DK,방구석 캐스팅,,가요 / 락,04:17
2023-10-01,42,나에게 그대만이,탑현,레이벡스,,가요 / 발라드,03:11
2023-10-01,43,사랑인가 봐,멜로망스(Melomance),플렉스엠,2274284.0,OST / 드라마,03:05
2023-10-01,44,Dangerously,Charlie Puth,Artist Partners,3456353.0,POP / 팝,03:19
2023-10-01,45,건물 사이에 피어난 장미 (Rose Blossom),H1-KEY,GLG,,가요 / 댄스,03:16
